,col1
1026," In the Carnatic, the appointment of Anwaruddin Khan as the Nawab was resented by Chanda Sahib"
1027," The French supported the claims of Muzaffar Jang and Chanda Sahib in the Deccan and Carnatic, respectively, while the English sided with Nasir Jang and Anwaruddin"
1028," Course of the War The combined armies of Muzaffar Jang, Chanda Sahib and the French defeated and killed Anwaruddin at the Battle of Ambur (near Vellore) in 1749"
1029," Muzaffar Jang became the subahdar of Deccan, and Dupleix was appointed governor of all the Mughal territories to the south of the River Krishna"
1030, A French army under Bussy was stationed at Hyderabad to secure French interests there
1031, Territories near Pondicherry and also some areas on the Orissa Coast (including Masulipatnam) were ceded to the French
1032," Having failed to provide effective assistance to Muhammad Ali at Trichinopoly, Robert Clive, then an agent in India Joseph Francis Dupleix, born in 1697, was the son of a wealthy FarmerGeneral of Taxes and DirectorGeneral of the Company of the Indies"
1033," He got a high post at Pondicherry in 1720, allegedly on the basis of influence of his father"
1034," At Pondicherry he made a lot of money by private trade, which was then permitted to servants of the French company"
1035," In December 1726, he was suspended owing to drastic change in the constitution of the French company and some confusions arising out of that"
1036," In 1730, Dupleix won his case, and was appointed as governor of Chandernagore as compensation"
1037," In 1741, he was appointed as the DirectorGeneral of French colonies in India"
1038," Later, he was conferred the title of Nawab by the Mughal emperor and the Subahdar of Deccan, Muzzaffar Jang"
1039," According to historians, Dupleix possessed qualities of an administrator, a diplomat, and a leader besides having political insight with a broad vision"
1040," Dupleix in the Role of Administrator In 1741, Dupleix became the GovernorGeneral of Pondicherry"
1041," He found Pondicherry facing several problemsMaratha invasion, famine, uncultivated land and chaotic conditions in the Carnatic"
1042," Apart from these, the Directors of the Company, sought a drastic cut in expenditure of the French East India Company, owing to the priority given to the French colonies in North America"
1043," So, Dupleix reduced public expenditure, despite opposition of his council, and balanced income and expenditure, coupled with a cut on salaries of officers"
1044," However, he decided to disobey the directors on the matter of fortification of settlements"
1045," He enhanced the defences of Pondicherry, even spending a large sum from his personal wealth"
1046, He made Pondicherry the emporium of commerce in south India by taking practical steps to develop the trade of the colony
1047," Later, the Directors of the Company praised Dupleix for taking the right decisions, even in contradiction of the directors"
1048, Dupleix as a Master of Diplomacy The analysis of the first two Carnatic wars proves the diplomacy of Dupleix as a leader who visualised the path of the European conquest of India
1049, Dupleix used the Nawab of Carnatic to forbid the English from    52      A Brief History of Modern India  waging war in his territories so that the French settlements at Pondicherry could be protected till the French forces acquired enough strength
1050, In return the nawab was promised Madras after the English got defeated
1051," But Dupleix, using his diplomacy, didn't give Madras to the nawab and even defeated him at St Thome"
1052," Dupleix convinced Admiral La Bourdonnais to break promises made to the English, citing examples from history that promises made under certain circumstances were never binding"
1053," Further, he said that since the position of the governorgeneral was superior to that of the commander of navy, the compact entered into between the latter and the English was ultra vires"
1054," Thus, he was able to convince his subordinate to do what was considered unethical in general terms, but best suited for one's nation"
